,images,masks,labels
25,ID319_A1_Regione-0.jp2-crop_slice_17/15_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/59_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/38_label.tif
26,ID319_A1_Regione-0.jp2-crop_slice_17/56_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/31_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/10_label.tif
27,ID319_A1_Regione-0.jp2-crop_slice_17/11_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/58_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/6_label.tif
28,ID319_A1_Regione-0.jp2-crop_slice_17/8_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/63_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/37_label.tif
29,ID319_A1_Regione-0.jp2-crop_slice_17/40_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/15_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/43_label.tif
30,ID319_A1_Regione-0.jp2-crop_slice_17/24_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/6_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/4_label.tif
31,ID319_A1_Regione-0.jp2-crop_slice_17/23_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/54_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/26_label.tif
32,ID319_A1_Regione-0.jp2-crop_slice_17/61_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/53_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/51_label.tif
33,ID319_A1_Regione-0.jp2-crop_slice_17/5_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/23_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/16_label.tif
34,ID319_A1_Regione-0.jp2-crop_slice_17/57_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/50_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/44_label.tif
35,ID319_A1_Regione-0.jp2-crop_slice_17/60_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/19_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/33_label.tif
36,ID319_A1_Regione-0.jp2-crop_slice_17/55_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/0_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/18_label.tif
37,ID319_A1_Regione-0.jp2-crop_slice_17/52_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/49_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/39_label.tif
38,ID319_A1_Regione-0.jp2-crop_slice_17/34_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/7_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/52_label.tif
39,ID319_A1_Regione-0.jp2-crop_slice_17/44_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/22_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/17_label.tif
40,ID319_A1_Regione-0.jp2-crop_slice_17/12_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/26_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/15_label.tif
41,ID319_A1_Regione-0.jp2-crop_slice_17/25_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/56_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/22_label.tif
42,ID319_A1_Regione-0.jp2-crop_slice_17/3_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/35_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/0_label.tif
43,ID319_A1_Regione-0.jp2-crop_slice_17/14_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/11_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/49_label.tif
44,ID319_A1_Regione-0.jp2-crop_slice_17/29_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/42_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/47_label.tif
45,ID319_A1_Regione-0.jp2-crop_slice_17/10_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/2_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/48_label.tif
46,ID319_A1_Regione-0.jp2-crop_slice_17/35_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/4_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/5_label.tif
47,ID319_A1_Regione-0.jp2-crop_slice_17/17_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/38_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/40_label.tif
48,ID319_A1_Regione-0.jp2-crop_slice_17/62_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/27_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/7_label.tif
49,ID319_A1_Regione-0.jp2-crop_slice_17/38_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/39_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/3_label.tif
50,ID319_A1_Regione-0.jp2-crop_slice_17/51_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/13_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/56_label.tif
51,ID319_A1_Regione-0.jp2-crop_slice_17/19_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/60_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/50_label.tif
52,ID319_A1_Regione-0.jp2-crop_slice_17/22_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/1_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/62_label.tif
53,ID319_A1_Regione-0.jp2-crop_slice_17/6_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/61_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/23_label.tif
54,ID319_A1_Regione-0.jp2-crop_slice_17/18_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/24_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/63_label.tif
55,ID319_A1_Regione-0.jp2-crop_slice_17/0_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/12_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/25_label.tif
56,ID319_A1_Regione-0.jp2-crop_slice_17/16_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/25_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/61_label.tif
57,ID319_A1_Regione-0.jp2-crop_slice_17/42_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/14_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/8_label.tif
58,ID319_A1_Regione-0.jp2-crop_slice_17/37_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/45_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/41_label.tif
59,ID319_A1_Regione-0.jp2-crop_slice_17/7_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/36_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/1_label.tif
60,ID319_A1_Regione-0.jp2-crop_slice_17/59_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/3_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/24_label.tif
61,ID319_A1_Regione-0.jp2-crop_slice_17/63_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/48_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/59_label.tif
62,ID319_A1_Regione-0.jp2-crop_slice_17/27_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/43_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/21_label.tif
63,ID319_A1_Regione-0.jp2-crop_slice_17/26_image.png,ID319_A1_Regione-0.jp2-crop_slice_17/21_mask.png,ID319_A1_Regione-0.jp2-crop_slice_17/13_label.tif
64,ID159_A1_Regione-1.jp2-crop_slice_47/43_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/55_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/32_label.tif
65,ID159_A1_Regione-1.jp2-crop_slice_47/48_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/51_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/2_label.tif
66,ID159_A1_Regione-1.jp2-crop_slice_47/30_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/37_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/11_label.tif
67,ID159_A1_Regione-1.jp2-crop_slice_47/58_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/29_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/19_label.tif
68,ID159_A1_Regione-1.jp2-crop_slice_47/53_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/33_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/31_label.tif
69,ID159_A1_Regione-1.jp2-crop_slice_47/31_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/17_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/58_label.tif
70,ID159_A1_Regione-1.jp2-crop_slice_47/28_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/47_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/55_label.tif
71,ID159_A1_Regione-1.jp2-crop_slice_47/21_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/46_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/12_label.tif
72,ID159_A1_Regione-1.jp2-crop_slice_47/4_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/28_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/54_label.tif
73,ID159_A1_Regione-1.jp2-crop_slice_47/54_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/32_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/60_label.tif
74,ID159_A1_Regione-1.jp2-crop_slice_47/20_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/40_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/46_label.tif
75,ID159_A1_Regione-1.jp2-crop_slice_47/46_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/34_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/20_label.tif
76,ID159_A1_Regione-1.jp2-crop_slice_47/50_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/8_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/45_label.tif
77,ID159_A1_Regione-1.jp2-crop_slice_47/36_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/20_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/14_label.tif
78,ID159_A1_Regione-1.jp2-crop_slice_47/1_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/5_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/29_label.tif
79,ID159_A1_Regione-1.jp2-crop_slice_47/2_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/30_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/36_label.tif
80,ID159_A1_Regione-1.jp2-crop_slice_47/47_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/10_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/9_label.tif
81,ID159_A1_Regione-1.jp2-crop_slice_47/9_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/52_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/53_label.tif
82,ID159_A1_Regione-1.jp2-crop_slice_47/45_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/44_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/30_label.tif
83,ID159_A1_Regione-1.jp2-crop_slice_47/33_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/57_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/28_label.tif
84,ID159_A1_Regione-1.jp2-crop_slice_47/13_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/9_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/34_label.tif
85,ID159_A1_Regione-1.jp2-crop_slice_47/32_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/18_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/27_label.tif
86,ID159_A1_Regione-1.jp2-crop_slice_47/49_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/62_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/57_label.tif
87,ID159_A1_Regione-1.jp2-crop_slice_47/41_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/16_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/35_label.tif
88,ID159_A1_Regione-1.jp2-crop_slice_47/39_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/41_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/42_label.tif
89,ID159_A1_Regione-1.jp2-crop_slice_47/15_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/59_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/38_label.tif
90,ID159_A1_Regione-1.jp2-crop_slice_47/56_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/31_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/10_label.tif
91,ID159_A1_Regione-1.jp2-crop_slice_47/11_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/58_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/6_label.tif
92,ID159_A1_Regione-1.jp2-crop_slice_47/8_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/63_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/37_label.tif
93,ID159_A1_Regione-1.jp2-crop_slice_47/40_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/15_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/43_label.tif
94,ID159_A1_Regione-1.jp2-crop_slice_47/24_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/6_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/4_label.tif
95,ID159_A1_Regione-1.jp2-crop_slice_47/23_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/54_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/26_label.tif
96,ID159_A1_Regione-1.jp2-crop_slice_47/61_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/53_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/51_label.tif
97,ID159_A1_Regione-1.jp2-crop_slice_47/5_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/23_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/16_label.tif
98,ID159_A1_Regione-1.jp2-crop_slice_47/57_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/50_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/44_label.tif
99,ID159_A1_Regione-1.jp2-crop_slice_47/60_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/19_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/33_label.tif
100,ID159_A1_Regione-1.jp2-crop_slice_47/55_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/0_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/18_label.tif
101,ID159_A1_Regione-1.jp2-crop_slice_47/52_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/49_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/39_label.tif
102,ID159_A1_Regione-1.jp2-crop_slice_47/34_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/7_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/52_label.tif
103,ID159_A1_Regione-1.jp2-crop_slice_47/44_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/22_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/17_label.tif
104,ID159_A1_Regione-1.jp2-crop_slice_47/12_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/26_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/15_label.tif
105,ID159_A1_Regione-1.jp2-crop_slice_47/25_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/56_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/22_label.tif
106,ID159_A1_Regione-1.jp2-crop_slice_47/3_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/35_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/0_label.tif
107,ID159_A1_Regione-1.jp2-crop_slice_47/14_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/11_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/49_label.tif
108,ID159_A1_Regione-1.jp2-crop_slice_47/29_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/42_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/47_label.tif
109,ID159_A1_Regione-1.jp2-crop_slice_47/10_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/2_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/48_label.tif
110,ID159_A1_Regione-1.jp2-crop_slice_47/35_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/4_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/5_label.tif
111,ID159_A1_Regione-1.jp2-crop_slice_47/17_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/38_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/40_label.tif
112,ID159_A1_Regione-1.jp2-crop_slice_47/62_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/27_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/7_label.tif
113,ID159_A1_Regione-1.jp2-crop_slice_47/38_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/39_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/3_label.tif
114,ID159_A1_Regione-1.jp2-crop_slice_47/51_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/13_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/56_label.tif
115,ID159_A1_Regione-1.jp2-crop_slice_47/19_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/60_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/50_label.tif
116,ID159_A1_Regione-1.jp2-crop_slice_47/22_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/1_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/62_label.tif
117,ID159_A1_Regione-1.jp2-crop_slice_47/6_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/61_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/23_label.tif
118,ID159_A1_Regione-1.jp2-crop_slice_47/18_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/24_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/63_label.tif
119,ID159_A1_Regione-1.jp2-crop_slice_47/0_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/12_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/25_label.tif
120,ID159_A1_Regione-1.jp2-crop_slice_47/16_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/25_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/61_label.tif
121,ID159_A1_Regione-1.jp2-crop_slice_47/42_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/14_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/8_label.tif
122,ID159_A1_Regione-1.jp2-crop_slice_47/37_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/45_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/41_label.tif
123,ID159_A1_Regione-1.jp2-crop_slice_47/7_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/36_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/1_label.tif
124,ID159_A1_Regione-1.jp2-crop_slice_47/59_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/3_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/24_label.tif
125,ID159_A1_Regione-1.jp2-crop_slice_47/63_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/48_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/59_label.tif
126,ID159_A1_Regione-1.jp2-crop_slice_47/27_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/43_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/21_label.tif
127,ID159_A1_Regione-1.jp2-crop_slice_47/26_image.png,ID159_A1_Regione-1.jp2-crop_slice_47/21_mask.png,ID159_A1_Regione-1.jp2-crop_slice_47/13_label.tif
128,ID133_A1_Regione-1.jp2-crop_slice_37/43_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/55_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/32_label.tif
129,ID133_A1_Regione-1.jp2-crop_slice_37/48_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/51_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/2_label.tif
130,ID133_A1_Regione-1.jp2-crop_slice_37/30_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/37_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/11_label.tif
131,ID133_A1_Regione-1.jp2-crop_slice_37/58_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/29_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/19_label.tif
132,ID133_A1_Regione-1.jp2-crop_slice_37/53_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/33_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/31_label.tif
133,ID133_A1_Regione-1.jp2-crop_slice_37/31_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/17_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/58_label.tif
134,ID133_A1_Regione-1.jp2-crop_slice_37/28_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/47_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/55_label.tif
135,ID133_A1_Regione-1.jp2-crop_slice_37/21_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/46_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/12_label.tif
136,ID133_A1_Regione-1.jp2-crop_slice_37/4_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/28_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/54_label.tif
137,ID133_A1_Regione-1.jp2-crop_slice_37/54_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/32_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/60_label.tif
138,ID133_A1_Regione-1.jp2-crop_slice_37/20_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/40_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/46_label.tif
139,ID133_A1_Regione-1.jp2-crop_slice_37/46_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/34_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/20_label.tif
140,ID133_A1_Regione-1.jp2-crop_slice_37/50_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/8_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/45_label.tif
141,ID133_A1_Regione-1.jp2-crop_slice_37/36_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/20_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/14_label.tif
142,ID133_A1_Regione-1.jp2-crop_slice_37/1_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/5_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/29_label.tif
143,ID133_A1_Regione-1.jp2-crop_slice_37/2_image.png,ID133_A1_Regione-1.jp2-crop_slice_37/30_mask.png,ID133_A1_Regione-1.jp2-crop_slice_37/36_label.tif
